98: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 2, 10 3
99: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 2, 10 3
100: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
101: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
102: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
103: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
104: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
105: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
106: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
107: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 3, 8 3, 9 3, 10 3
108: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
109: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
110: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
111: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
112: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
113: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
114: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
115: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
116: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
117: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
118: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
119: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
120: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
121: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
122: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
123: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
124: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
125: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
126: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
127: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
128: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
129: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
130: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
131: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
132: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
